Exported SMaRT Impedance Data
Experiment start time : 2/9/2017 11:00:42 PM

Result Number,Sweep Number,Point Number,Time,Frequency (Hz),AC Level (V),DC Level (V),Set Point ('C),Temperature ('C),Control ('C),Relative Permittivity Real ,Relative Permittivity Imaginary ,Relative Permittivity Tan Delta ,Impedance Imaginary (Ohms)
159,3,37,02:56:15,251.1886,1,0,105.00,105.95,103.00,32.06345,1.251408,3.902912E-02,-1973100,
160,3,38,02:56:21,199.5262,1,0,105.00,105.95,103.00,32.20026,1.063214,3.301881E-02,-2474502,
161,3,39,02:56:27,158.4893,1,0,105.00,105.95,103.00,32.30084,0.8987781,2.782522E-02,-3106493,
162,3,40,02:56:33,125.8925,1,0,105.00,105.95,103.00,32.38245,0.7524868,2.323749E-02,-3901901,
163,3,41,02:56:38,100,1,0,105.00,105.95,103.00,32.4442,0.6287042,1.937802E-02,-4903657,
164,3,42,02:56:44,79.43282,1,0,105.00,105.95,103.00,32.4889,0.5216625,1.605664E-02,-6165572,
165,3,43,02:56:50,63.09574,1,0,105.00,105.95,103.00,32.52163,0.4314065,1.326522E-02,-7754816,
166,3,44,02:56:56,50.11872,1,0,105.00,105.95,103.00,32.54983,0.3568821,1.096418E-02,-9754822,
167,3,45,02:57:02,39.81071,1,0,105.00,105.95,103.00,32.56975,0.2945808,9.044616E-03,-1.227356E+07,
168,3,46,02:57:08,31.62278,1,0,105.00,105.95,103.00,32.58694,0.2424231,7.43927E-03,-1.544374E+07,
169,3,47,02:57:14,25.11886,1,0,105.00,105.95,103.00,32.59776,0.2016098,6.184774E-03,-1.94364E+07,
170,3,48,02:57:20,19.95262,1,0,105.00,105.95,103.00,32.60682,0.1688568,5.178574E-03,-2.446246E+07,
171,3,49,02:57:26,15.84893,1,0,105.00,105.95,103.00,32.61448,0.1425785,4.371631E-03,-3.078942E+07,
172,3,50,02:57:32,12.58925,1,0,105.00,105.95,103.00,32.62056,0.1206202,3.697675E-03,-3.875458E+07,
173,3,51,02:57:38,10,1,0,105.00,105.95,103.00,32.62589,0.1053707,3.229664E-03,-4.878129E+07,
