PeMA-05142015, 14.5.2015, 9:29
Fixed value(s) :  AC Volt  [Vrms]=1.000
 Freq.[Hz]	 Temp.[°C]	 Eps'   	 Eps''  
 2.6827e+01	 1.1000e+02	 4.0702e+00	 1.1277e+00
 1.9307e+01	 1.1000e+02	 4.0983e+00	 1.5552e+00
 1.3895e+01	 1.1000e+02	 4.1450e+00	 2.1385e+00
 1.0000e+01	 1.1000e+02	 4.2162e+00	 2.9276e+00
 7.1969e+00	 1.1000e+02	 4.3239e+00	 3.9961e+00
 5.1795e+00	 1.1000e+02	 4.4748e+00	 5.4413e+00
 3.7276e+00	 1.1000e+02	 4.6558e+00	 7.3774e+00
 2.6827e+00	 1.1000e+02	 4.8701e+00	 1.0013e+01
 1.9307e+00	 1.1000e+02	 5.0947e+00	 1.3600e+01
 1.3895e+00	 1.1000e+02	 5.3115e+00	 1.8519e+01
 1.0000e+00	 1.1000e+02	 5.4961e+00	 2.5308e+01
 7.1969e-01	 1.1000e+02	 5.6717e+00	 3.4788e+01
 5.1795e-01	 1.1000e+02	 5.8152e+00	 4.7968e+01
 3.7276e-01	 1.1000e+02	 5.9373e+00	 6.6225e+01
 2.6827e-01	 1.1000e+02	 6.0669e+00	 9.1523e+01
 1.9307e-01	 1.1000e+02	 6.2417e+00	 1.2663e+02
 1.3895e-01	 1.1000e+02	 6.4594e+00	 1.7547e+02
 1.0000e-01	 1.1000e+02	 6.8092e+00	 2.4229e+02
 7.1969e-02	 1.1000e+02	 7.2567e+00	 3.3583e+02
 5.1795e-02	 1.1000e+02	 7.9433e+00	 4.6511e+02
 3.7276e-02	 1.1000e+02	 8.9026e+00	 6.4329e+02
 2.6827e-02	 1.1000e+02	 1.0441e+01	 8.8963e+02
 1.0000e+07	 1.0500e+02	 2.4022e+00	 1.9842e-02
 7.1969e+06	 1.0500e+02	 2.4163e+00	 1.0907e-01
 5.1795e+06	 1.0500e+02	 2.4208e+00	 1.3203e-01
 3.7276e+06	 1.0500e+02	 2.4437e+00	 1.4896e-01
 2.6827e+06	 1.0500e+02	 2.4673e+00	 1.7607e-01
 1.9307e+06	 1.0500e+02	 2.5012e+00	 2.0379e-01
 1.3895e+06	 1.0500e+02	 2.5449e+00	 2.2919e-01
 1.0000e+06	 1.0500e+02	 2.5895e+00	 2.5973e-01
 7.1969e+05	 1.0500e+02	 2.6465e+00	 2.9946e-01
 5.1795e+05	 1.0500e+02	 2.7072e+00	 3.3024e-01
 3.7276e+05	 1.0500e+02	 2.7824e+00	 3.6246e-01
 2.6827e+05	 1.0500e+02	 2.8643e+00	 3.9389e-01
 1.9307e+05	 1.0500e+02	 2.9556e+00	 4.2282e-01
 1.3895e+05	 1.0500e+02	 3.0561e+00	 4.4706e-01
 1.0000e+05	 1.0500e+02	 3.1640e+00	 4.6397e-01
 7.1969e+04	 1.0500e+02	 3.2773e+00	 4.7105e-01
 5.1795e+04	 1.0500e+02	 3.3926e+00	 4.6664e-01
 3.7276e+04	 1.0500e+02	 3.5060e+00	 4.4980e-01
 2.6827e+04	 1.0500e+02	 3.6122e+00	 4.2102e-01
 1.9307e+04	 1.0500e+02	 3.7073e+00	 3.8281e-01
 1.3895e+04	 1.0500e+02	 3.7890e+00	 3.3860e-01
 1.0000e+04	 1.0500e+02	 3.8560e+00	 2.9212e-01
