PBMA-051820115, 18.5.2015, 9:39
Fixed value(s) :  AC Volt  [Vrms]=1.000
 Freq.[Hz]	 Temp.[°C]	 Eps'   	 Eps''  
 1.0000e+01	 4.5000e+01	 2.7000e+00	 1.8922e-01
 7.1969e+00	 4.5000e+01	 2.7383e+00	 1.7670e-01
 5.1795e+00	 4.5000e+01	 2.7727e+00	 1.6457e-01
 3.7276e+00	 4.5000e+01	 2.8037e+00	 1.5318e-01
 2.6827e+00	 4.5000e+01	 2.8309e+00	 1.4344e-01
 1.9307e+00	 4.5000e+01	 2.8545e+00	 1.3575e-01
 1.3895e+00	 4.5000e+01	 2.8746e+00	 1.3227e-01
 1.0000e+00	 4.5000e+01	 2.8923e+00	 1.3360e-01
 7.1969e-01	 4.5000e+01	 2.9061e+00	 1.4079e-01
 5.1795e-01	 4.5000e+01	 2.9190e+00	 1.5727e-01
 3.7276e-01	 4.5000e+01	 2.9297e+00	 1.8583e-01
 2.6827e-01	 4.5000e+01	 2.9376e+00	 2.2840e-01
 1.9307e-01	 4.5000e+01	 2.9456e+00	 2.9226e-01
 1.3895e-01	 4.5000e+01	 2.9530e+00	 3.8378e-01
 1.0000e-01	 4.5000e+01	 2.9627e+00	 5.1274e-01
 7.1969e-02	 4.5000e+01	 2.9731e+00	 6.9566e-01
 5.1795e-02	 4.5000e+01	 2.9869e+00	 9.4467e-01
 3.7276e-02	 4.5000e+01	 3.0069e+00	 1.2927e+00
 2.6827e-02	 4.5000e+01	 3.0325e+00	 1.7726e+00
 1.0000e+07	 4.0000e+01	 1.7286e+00	-6.5293e-02
 7.1969e+06	 4.0000e+01	 1.7240e+00	-8.8896e-03
 5.1795e+06	 4.0000e+01	 1.7116e+00	-3.3404e-03
 3.7276e+06	 4.0000e+01	 1.7100e+00	-2.8720e-03
 2.6827e+06	 4.0000e+01	 1.7056e+00	 4.4275e-03
 1.9307e+06	 4.0000e+01	 1.7066e+00	 9.0212e-03
 1.3895e+06	 4.0000e+01	 1.7081e+00	 1.5832e-02
 1.0000e+06	 4.0000e+01	 1.7123e+00	 1.9527e-02
